,text,labels
0,Accord de confidentialité signé par Marc Robert le 25 avril 2020.,"[(0, 25, 1), (36, 47, 2), (51, 64, 3)]"
1,Accord commercial signé par Sophie Leclerc le 12 décembre 2020.,"[(0, 17, 1), (28, 42, 2), (46, 62, 3)]"
2,Contrat de prestation de services signé par Lucie Noël le 2 février 2021.,"[(0, 33, 1), (44, 54, 2), (58, 72, 3)]"
3,Contrat de prestation de services signé par Claire Durand le 15 janvier 2023.,"[(0, 33, 1), (44, 57, 2), (61, 76, 3)]"
4,Accord de collaboration signé par Paul Garnier le 18 mars 2022.,"[(0, 23, 1), (34, 46, 2), (50, 62, 3)]"
5,Contrat d'assurance signé par Louis Moreau le 5 août 2019.,"[(0, 19, 1), (30, 42, 2), (46, 57, 3)]"
6,Contrat de prestation de services signé par Claire Durand le 2 février 2021.,"[(0, 33, 1), (44, 57, 2), (61, 75, 3)]"
7,Accord de cession signé par Sarah Bernard le 10 juin 2021.,"[(0, 17, 1), (28, 41, 2), (45, 57, 3)]"
8,Accord commercial signé par Louis Moreau le 12 décembre 2020.,"[(0, 17, 1), (28, 40, 2), (44, 60, 3)]"
9,Accord de collaboration signé par Nicolas Petit le 10 juin 2021.,"[(0, 23, 1), (34, 47, 2), (51, 63, 3)]"
10,Contrat de travail signé par Paul Garnier le 15 janvier 2023.,"[(0, 18, 1), (29, 41, 2), (45, 60, 3)]"
11,Contrat de fourniture signé par Paul Garnier le 25 avril 2020.,"[(0, 21, 1), (32, 44, 2), (48, 61, 3)]"
12,Accord de cession signé par Nicolas Petit le 18 mars 2022.,"[(0, 17, 1), (28, 41, 2), (45, 57, 3)]"
13,Contrat de travail signé par Marc Robert le 2 février 2021.,"[(0, 18, 1), (29, 40, 2), (44, 58, 3)]"
14,Accord commercial signé par Marc Robert le 10 juin 2021.,"[(0, 17, 1), (28, 39, 2), (43, 55, 3)]"
15,Contrat de prestation de services signé par Jean Dupont le 2 février 2021.,"[(0, 33, 1), (44, 55, 2), (59, 73, 3)]"
16,Accord de collaboration signé par Sarah Bernard le 25 avril 2020.,"[(0, 23, 1), (34, 47, 2), (51, 64, 3)]"
17,Contrat de travail signé par Nicolas Petit le 5 août 2019.,"[(0, 18, 1), (29, 42, 2), (46, 57, 3)]"
18,Contrat de travail signé par Sophie Leclerc le 2 février 2021.,"[(0, 18, 1), (29, 43, 2), (47, 61, 3)]"
19,Contrat de fourniture signé par Julie Martin le 25 avril 2020.,"[(0, 21, 1), (32, 44, 2), (48, 61, 3)]"
20,Contrat de travail signé par Louis Moreau le 2 février 2021.,"[(0, 18, 1), (29, 41, 2), (45, 59, 3)]"
21,Accord de confidentialité signé par Marc Robert le 18 mars 2022.,"[(0, 25, 1), (36, 47, 2), (51, 63, 3)]"
22,Accord de cession signé par Nicolas Petit le 30 septembre 2023.,"[(0, 17, 1), (28, 41, 2), (45, 62, 3)]"
23,Contrat de prestation de services signé par Lucie Noël le 18 mars 2022.,"[(0, 33, 1), (44, 54, 2), (58, 70, 3)]"
24,Accord de collaboration signé par Marc Robert le 20 octobre 2022.,"[(0, 23, 1), (34, 45, 2), (49, 64, 3)]"
25,Contrat de fourniture signé par Louis Moreau le 15 janvier 2023.,"[(0, 21, 1), (32, 44, 2), (48, 63, 3)]"
26,Contrat de bail signé par Sarah Bernard le 2 février 2021.,"[(0, 15, 1), (26, 39, 2), (43, 57, 3)]"
27,Contrat de prestation de services signé par Claire Durand le 25 avril 2020.,"[(0, 33, 1), (44, 57, 2), (61, 74, 3)]"
28,Accord de collaboration signé par Sophie Leclerc le 12 décembre 2020.,"[(0, 23, 1), (34, 48, 2), (52, 68, 3)]"
29,Contrat de prestation de services signé par Louis Moreau le 7 juillet 2021.,"[(0, 33, 1), (44, 56, 2), (60, 74, 3)]"
30,Accord commercial signé par Sarah Bernard le 18 mars 2022.,"[(0, 17, 1), (28, 41, 2), (45, 57, 3)]"
31,Accord commercial signé par Lucie Noël le 18 mars 2022.,"[(0, 17, 1), (28, 38, 2), (42, 54, 3)]"
32,Contrat d'assurance signé par Marc Robert le 18 mars 2022.,"[(0, 19, 1), (30, 41, 2), (45, 57, 3)]"
33,Contrat de travail signé par Sophie Leclerc le 20 octobre 2022.,"[(0, 18, 1), (29, 43, 2), (47, 62, 3)]"
34,Contrat de prestation de services signé par Claire Durand le 18 mars 2022.,"[(0, 33, 1), (44, 57, 2), (61, 73, 3)]"
35,Contrat de travail signé par Claire Durand le 25 avril 2020.,"[(0, 18, 1), (29, 42, 2), (46, 59, 3)]"
36,Contrat de partenariat signé par Julie Martin le 2 février 2021.,"[(0, 22, 1), (33, 45, 2), (49, 63, 3)]"
37,Contrat de travail signé par Marc Robert le 5 août 2019.,"[(0, 18, 1), (29, 40, 2), (44, 55, 3)]"
